word	espeak_ipa
the	ðˈə
a	ˈe‍ɪ
an	ˈæn
is	ˈɪz
was	wˈʌz
are	ˈɑː‍ɹ
were	wˈɜː
be	bˈiː
been	bˈɪn
being	bˈiːʲɪŋ
have	hˈæv
has	hˈæz
had	hˈæd
do	dˈuː
does	dˈʌz
did	dˈɪd
will	wˈɪl
would	wˈʊd
shall	ʃˈæl
should	ʃˈʊd
may	mˈe‍ɪ
might	mˈa‍ɪt
must	mˈʌst
can	kˈæn
could	kˈʊd
to	tˈuː
of	ˈʌv
in	ˈɪn
for	fˈɔː‍ɹ
on	ˈɔn
with	wˈɪð
at	ˈæt
by	bˈa‍ɪ
from	fɹˈʌm
as	ˈæz
into	ˈɪntʊ
through	θɹˈuː
during	dˈʊ‍ɹɹɪŋ
before	bᵻfˈɔː‍ɹ
after	ˈæftɚ
above	əbˈʌv
below	bᵻlˈo‍ʊ
between	bᵻtwˈiːn
under	ˈʌndɚ
this	ðˈɪs
that	ðˈæt
these	ðˈiːz
those	ðˈo‍ʊz
it	ˈɪt
its	ˈɪts
he	hˈiː
she	ʃˈiː
they	ðˈe‍ɪ
we	wˈiː
you	jˈuː
me	mˈiː
him	hˈɪm
her	hˈɜː
us	ˈʌs
them	ðˈɛm
my	mˈa‍ɪ
your	jˈʊ‍ɹ
his	hˈɪz
our	ˈa‍ʊɚ
their	ðˈɛ‍ɹ
not	nˈɑːt
no	nˈo‍ʊ
nor	nˈɔː‍ɹ
but	bˈʌt
or	ˈɔː‍ɹ
and	ˈænd
if	ˈɪf
then	ðˈɛn
hello	həlˈo‍ʊ
world	wˈɜːld
audio	ˈɔːdɪʲˌo‍ʊ
voice	vˈɔ‍ɪs
speech	spˈiːt‍ʃ
language	lˈæŋɡwɪd‍ʒ
computer	kəmpjˈuːɾɚ
artificial	ˌɑː‍ɹɾɪfˈɪʃə‍l
intelligence	ɪntˈɛlɪd‍ʒəns
generated	d‍ʒˈɛnɚɹˌe‍ɪɾᵻd
system	sˈɪstəm
model	mˈɑːdə‍l
text	tˈɛkst
phone	fˈo‍ʊn
phoneme	fˈo‍ʊniːm
dictionary	dˈɪkʃənˌɛɹi
pronounce	pɹənˈa‍ʊns
pronunciation	pɹənˌʌnsɪʲˈe‍ɪʃən
english	ˈɪŋɡlɪʃ
german	d‍ʒˈɜːmən
french	fɹˈɛnt‍ʃ
spanish	spˈænɪʃ
natural	nˈæt‍ʃɚɹə‍l
neural	nˈʊ‍ɹɹə‍l
network	nˈɛtwɜːk
machine	məʃˈiːn
learning	lˈɜːnɪŋ
deep	dˈiːp
data	dˈe‍ɪɾə
digital	dˈɪd‍ʒɪɾə‍l
though	ðˈo‍ʊ
through	θɹˈuː
thought	θˈɔːt
thorough	θˈʌɹo‍ʊ
cough	kˈɔf
enough	ɪnˈʌf
bough	bˈa‍ʊ
dough	dˈo‍ʊ
rough	ɹˈʌf
tough	tˈʌf
ought	ˈɔːt
bought	bˈɔːt
brought	bɹˈɔːt
women	wˈɪmɪn
colonel	kˈɜːnə‍l
queue	kjˈuː
bureau	bjˈʊ‍ɹɹo‍ʊ
recipe	ɹˈɛsᵻpˌiː
debris	dəbɹˈiː
cafe	kˈæfe‍ɪ
naive	na‍ɪˈiːv
resume	ɹᵻzˈuːm
unique	juːnˈiːk
technique	tɛknˈiːk
boutique	buːtˈiːk
choir	kwˈa‍ɪ‍ɚ
chaos	kˈe‍ɪɑːs
character	kˈæɹɪktɚ
psychology	sa‍ɪkˈɑːləd‍ʒi
pneumonia	nuːmˈo‍ʊni‍ə
one	wˈʌn
two	tˈuː
three	θɹˈiː
four	fˈɔː‍ɹ
five	fˈa‍ɪv
six	sˈɪks
seven	sˈɛvən
eight	ˈe‍ɪt
nine	nˈa‍ɪn
ten	tˈɛn
hundred	hˈʌndɹɪd
thousand	θˈa‍ʊzənd
million	mˈɪli‍ən
algorithm	ˈælɡɚɹˌɪθəm
parameter	pɚɹˈæmɪɾɚ
architecture	ˈɑː‍ɹkɪtˌɛkt‍ʃɚ
transformer	tɹænsfˈɔː‍ɹmɚ
attention	ɐtˈɛnʃən
encoder	ɛŋkˈo‍ʊdɚ
decoder	dᵻkˈo‍ʊdɚ
embedding	ɛmbˈɛdɪŋ
tokenizer	tˈo‍ʊkənˌa‍ɪzɚ
inference	ˈɪnfɚɹəns
quantization	kwˌɔntᵻzˈe‍ɪʃən
optimization	ˌɑːptɪmᵻzˈe‍ɪʃən
frequency	fɹˈiːkwənsi
amplitude	ˈæmplɪtˌuːd
waveform	wˈe‍ɪvfɔː‍ɹm
understand	ˌʌndɚstˈænd
information	ˌɪnfɚmˈe‍ɪʃən
communication	kəmjˌuːnɪkˈe‍ɪʃən
international	ˌɪntɚnˈæʃənə‍l
responsibility	ɹᵻspˌɑːnsəbˈɪlᵻɾi
environmental	ɛnvˌa‍ɪɹənmˈɛntə‍l
representative	ɹˌɛpɹᵻzˈɛntətˌɪv
approximately	ɐpɹˈɑːksɪmətli
unfortunately	ʌnfˈɔː‍ɹt‍ʃənətli
extraordinary	ɛkstɹˈɔː‍ɹdɪnˌɛɹi
congratulations	kəŋɡɹˈæt‍ʃʊlˈe‍ɪʃənz
